economy,current_account_gdp,fdi_net_inflows_gdp,external_debt_gni,total_reserves,inflation,gdp_growth,year
FRA,-1.43234855251881,4.0180319137717,,242415618842.022,5.22236748369735,2.71676264185913,2022
FRA,-1.04301703799496,0.590645170561014,,240792007784.254,4.87835726508441,1.43921494437743,2023
GBR,-4.91700489264854,1.53903424150931,,148109299505.898,0.36804684232536,2.14040560033371,2015
GBR,-5.46283821927875,11.9998637298189,,134931850848.279,1.0084173681141,2.20652020635357,2016
GBR,-3.47326460218152,4.64443540147576,,150857673778.943,2.55775577557747,3.02322219840339,2017
GBR,-3.88728858372976,-0.864867036878713,,172657749536.315,2.29283990345938,1.55133095078786,2018
GBR,-2.66245642145608,0.688204352262878,,173569199262.767,1.73810460086513,1.25629899760824,2019
GBR,-2.92883387550298,5.77039185007421,,180054101389.553,0.989486703772491,-10.047896637362,2020
GBR,-0.752836357784011,3.20643815254935,,194181397315.03,2.51837109614213,8.5431118453255,2021
GBR,-2.06737101121871,2.91635435189931,,176409966646.608,7.92204883147902,5.14970388522993,2022
GBR,-3.57676183842871,0.403116734836793,,177915356242.234,6.79396706793963,0.271650048355255,2023
IDN,-2.03504192745968,2.29761639380441,36.9878652515237,105928847088.719,6.36312061196646,4.87632230022123,2015
IDN,-1.81915089251384,0.487372471368879,35.3699048723645,116369601851.059,3.52580452815451,5.03306918280177,2016
IDN,-1.59465689989364,2.01948919812582,35.9645370946451,130215330382.957,3.80879857691949,5.06978590134916,2017
IDN,-2.93907291477017,1.81428979349441,37.5639689128338,120660974090.95,3.19834755924996,5.17429153955024,2018
IDN,-2.7056619813955,2.23336204282241,37.0829978168899,129186464020.188,3.03058460941661,5.01928768046282,2019
IDN,-0.418606247736126,1.81058402027127,40.4899520829926,135915917616.263,1.91983527270793,-2.06551182934165,2020
IDN,0.295885914526078,1.7878556314554,36.1990816015577,144907809744.209,1.56007882983334,3.70288562827751,2021
IDN,1.00182875104005,1.87264100861425,30.8527352858338,137222356128.227,4.20946463714784,5.30719722664799,2022
IDN,-0.148899338519633,1.57116694173474,29.935375315129,146358992701.848,3.66938654859761,5.04902331835997,2023
IND,-1.06754907167964,2.09211521443253,23.0297689509967,353319061013.224,4.90697344127256,7.99625378571471,2015
IND,-0.527880606037518,1.9373641224439,20.0812235448632,361694321972.036,4.94821634062141,8.25630550179086,2016
IND,-1.43948820320988,1.50731583255894,19.5049373712632,412613792019.924,3.32817337461298,6.79538341897911,2017
IND,-2.42697545810527,1.55821483801456,19.4905310721105,399167159226.682,3.9388264669163,6.45385134497769,2018
IND,-1.04961203910072,1.78482633957161,19.9766366353145,463469902152.507,3.72950573539129,3.87143694070356,2019
IND,1.22362111042791,2.40620322673636,21.4094740100862,590227359928.896,6.62343677628535,-5.77772470686801,2020
IND,-1.05524166809383,1.41217101040888,19.5524130311129,638484779930.836,5.13140747176369,9.68959249192875,2021
IND,-2.36247481487452,1.49248825904,18.6518069060743,567298153917.14,6.69903414079852,7.60936497768895,2022
IND,-0.878262847208682,0.771919134264091,18.0442974446192,627792750126.715,5.64914318907925,9.19075493028345,2023
ITA,1.23326652485504,0.720886367724088,,130592432979.515,0.0387903996579733,0.885667635240807,2015
